latency_ns,cdf
2.04e+06,0.174316
2.04e+06,0.174805
2.04e+06,0.175293
2.04e+06,0.175781
2.04e+06,0.17627
2.04e+06,0.176758
2.04e+06,0.177246
2.04e+06,0.177734
2.04e+06,0.178223
2.04e+06,0.178711
2.04e+06,0.179199
2.04e+06,0.179688
2.04e+06,0.180176
2.04e+06,0.180664
2.04e+06,0.181152
2.04e+06,0.181641
2.04e+06,0.182129
2.04e+06,0.182617
2.04e+06,0.183105
2.04e+06,0.183594
2.04e+06,0.184082
2.04e+06,0.18457
2.04e+06,0.185059
2.04e+06,0.185547
2.04e+06,0.186035
2.04e+06,0.186523
2.04e+06,0.187012
2.04e+06,0.1875
2.04e+06,0.187988
2.04e+06,0.188477
2.04e+06,0.188965
2.04e+06,0.189453
2.04e+06,0.189941
2.04e+06,0.19043
2.04e+06,0.190918
2.04e+06,0.191406
2.04e+06,0.191895
2.04e+06,0.192383
2.04e+06,0.192871
2.04e+06,0.193359
2.04e+06,0.193848
2.04e+06,0.194336
2.04e+06,0.194824
2.04e+06,0.195312
2.04e+06,0.195801
2.04e+06,0.196289
2.04e+06,0.196777
2.04e+06,0.197266
2.04e+06,0.197754
2.04e+06,0.198242
2.04e+06,0.19873
2.04e+06,0.199219
2.04e+06,0.199707
2.04e+06,0.200195
2.04e+06,0.200684
2.04e+06,0.201172
2.04e+06,0.20166
2.04e+06,0.202148
2.04e+06,0.202637
2.04e+06,0.203125
2.04e+06,0.203613
2.04e+06,0.204102
2.04e+06,0.20459
2.04e+06,0.205078
2.04e+06,0.205566
2.04e+06,0.206055
2.04e+06,0.206543
2.04e+06,0.207031
2.04e+06,0.20752
2.04e+06,0.208008
2.04e+06,0.208496
2.04e+06,0.208984
2.04e+06,0.209473
2.04e+06,0.209961
2.04e+06,0.210449
2.04e+06,0.210938
2.04e+06,0.211426
2.04e+06,0.211914
2.04e+06,0.212402
2.04e+06,0.212891
2.04e+06,0.213379
2.04e+06,0.213867
2.04e+06,0.214355
2.04e+06,0.214844
2.04e+06,0.215332
2.04e+06,0.21582
2.04e+06,0.216309
2.04e+06,0.216797
2.04e+06,0.217285
2.04e+06,0.217773
2.04e+06,0.218262
2.04e+06,0.21875
2.04e+06,0.219238
2.04e+06,0.219727
2.04e+06,0.220215
2.04e+06,0.220703
2.04e+06,0.221191
2.04e+06,0.22168
2.04e+06,0.222168
2.04e+06,0.222656
2.04e+06,0.223145
2.04e+06,0.223633
2.04e+06,0.224121
2.04e+06,0.224609
2.04e+06,0.225098
2.04e+06,0.225586
2.04e+06,0.226074
2.04e+06,0.226562
2.04e+06,0.227051
2.04e+06,0.227539
2.04e+06,0.228027
2.04e+06,0.228516
2.04e+06,0.229004
2.04e+06,0.229492
2.04e+06,0.22998
2.04e+06,0.230469
2.04e+06,0.230957
2.04e+06,0.231445
2.04e+06,0.231934
2.04e+06,0.232422
2.04e+06,0.23291
2.04e+06,0.233398
2.04e+06,0.233887
2.04e+06,0.234375
2.04e+06,0.234863
2.04e+06,0.235352
2.04e+06,0.23584
2.04e+06,0.236328
2.04e+06,0.236816
2.04e+06,0.237305
2.04e+06,0.237793
2.04e+06,0.238281
2.04e+06,0.23877
2.04e+06,0.239258
2.04e+06,0.239746
2.04e+06,0.240234
2.04e+06,0.240723
2.04e+06,0.241211
2.04e+06,0.241699
2.04e+06,0.242188
2.04e+06,0.242676
2.04e+06,0.243164
2.04e+06,0.243652
2.04e+06,0.244141
2.04e+06,0.244629
2.04e+06,0.245117
2.04e+06,0.245605
2.04e+06,0.246094
2.04e+06,0.246582
2.04e+06,0.24707
2.04e+06,0.247559
2.04e+06,0.248047
2.04e+06,0.248535
2.04e+06,0.249023
2.04e+06,0.249512
2.04e+06,0.25
2.04e+06,0.250488
2.04e+06,0.250977
2.04e+06,0.251465
2.04e+06,0.251953
2.04e+06,0.252441
2.04e+06,0.25293
2.04e+06,0.253418
2.04e+06,0.253906
2.04e+06,0.254395
2.04e+06,0.254883
2.04e+06,0.255371
2.04e+06,0.255859
2.04e+06,0.256348
2.04e+06,0.256836
2.04e+06,0.257324
2.04e+06,0.257812
2.04e+06,0.258301
2.04e+06,0.258789
2.04e+06,0.259277
2.04e+06,0.259766
2.04e+06,0.260254
2.04e+06,0.260742
2.04e+06,0.26123
2.04e+06,0.261719
2.04e+06,0.262207
2.04e+06,0.262695
2.04e+06,0.263184
2.04e+06,0.263672
2.04e+06,0.26416
2.04e+06,0.264648
2.04e+06,0.265137
2.04e+06,0.265625
2.04e+06,0.266113
2.04e+06,0.266602
2.04e+06,0.26709
2.04e+06,0.267578
2.04e+06,0.268066
2.04e+06,0.268555
2.04e+06,0.269043
2.04e+06,0.269531
2.04e+06,0.27002
2.04e+06,0.270508
2.04e+06,0.270996
2.04e+06,0.271484
2.04e+06,0.271973
